,0,1,2,3,4,5
0,Chemical,,,Best Available Technologies,Best Available Technologies,Best Available Technologies
1,,,,Granular,Packed,
2,,,,Activated,Tower,
3,,,,Carbon,Aeration,Oxidation
4,(a)  Volatile Organic Chemicals (VOCs),(a)  Volatile Organic Chemicals (VOCs),(a)  Volatile Organic Chemicals (VOCs),,,
5,     Benzene,     Benzene,     Benzene,X,X,
6,     Carbon Tetrachloride,     Carbon Tetrachloride,     Carbon Tetrachloride,X,X,
7,"     1,2-Dichlorobenzene","     1,2-Dichlorobenzene","     1,2-Dichlorobenzene",X,X,
8,"     1,4-Dichlorobenzene","     1,4-Dichlorobenzene","     1,4-Dichlorobenzene",X,X,
9,"     1,1-Dichloroethane","     1,1-Dichloroethane","     1,1-Dichloroethane",X,X,
10,"     1,2-Dichloroethane","     1,2-Dichloroethane","     1,2-Dichloroethane",X,X,
11,"     1,1-Dichloroethylene","     1,1-Dichloroethylene","     1,1-Dichloroethylene",X,X,
12,"     cis-1,2-Dichloroethylene","     cis-1,2-Dichloroethylene","     cis-1,2-Dichloroethylene",X,X,
13,"     trans-1,2-Dichloroethylene","     trans-1,2-Dichloroethylene","     trans-1,2-Dichloroethylene",X,X,
14,     Dichloromethane,     Dichloromethane,     Dichloromethane,,X,
15,"     1,2-Dichloropropane","     1,2-Dichloropropane","     1,2-Dichloropropane",X,X,
16,"     1,3-Dichloropropene","     1,3-Dichloropropene","     1,3-Dichloropropene",X,X,
17,     Ethylbenzene,     Ethylbenzene,     Ethylbenzene,X,X,
18,     Methyl-tert-butyl ether,     Methyl-tert-butyl ether,     Methyl-tert-butyl ether,,X,
19,     Monochlorobenzene,     Monochlorobenzene,     Monochlorobenzene,X,X,
20,     Styrene,     Styrene,     Styrene,X,X,
21,"     1,1,2,2-Tetrachloroethane","     1,1,2,2-Tetrachloroethane","     1,1,2,2-Tetrachloroethane",X,X,
22,     Tetrachloroethylene,     Tetrachloroethylene,     Tetrachloroethylene,X,X,
23,     Toluene,     Toluene,     Toluene,X,X,
24,"     1,2,4-Trichlorobenzene","     1,2,4-Trichlorobenzene","     1,2,4-Trichlorobenzene",X,X,
25,"     1,1,1-Trichloroethane","     1,1,1-Trichloroethane","     1,1,1-Trichloroethane",X,X,
26,"     1,1,2-Trichloroethane","     1,1,2-Trichloroethane","     1,1,2-Trichloroethane",X,X,
27,     Trichlorofluoromethane,     Trichlorofluoromethane,     Trichlorofluoromethane,X,X,
28,     Trichlorotrifluoroethane,     Trichlorotrifluoroethane,     Trichlorotrifluoroethane,X,X,
29,     Trichloroethylene,     Trichloroethylene,     Trichloroethylene,X,X,
30,     Vinyl Chloride,     Vinyl Chloride,     Vinyl Chloride,,X,
31,     Xylenes,     Xylenes,     Xylenes,X,X,
32,(b)  Synthetic Organic Chemicals (SOCs),(b)  Synthetic Organic Chemicals (SOCs),(b)  Synthetic Organic Chemicals (SOCs),,,
33,     Alachlor,     Alachlor,     Alachlor,X,X,
34,     Atrazine,     Atrazine,     Atrazine,X,,
35,     Bentazon,     Bentazon,     Bentazon,,X,
36,     Benzo(a)pyrene,     Benzo(a)pyrene,     Benzo(a)pyrene,X,,
37,     Carbofuran,     Carbofuran,     Carbofuran,X,,
38,     Chlordane,     Chlordane,     Chlordane,X,,
39,"     2,4-D","     2,4-D","     2,4-D",X,,
40,     Dalapon,     Dalapon,     Dalapon,X,,
41,     Di(2-ethylhexyl)adipate,     Di(2-ethylhexyl)adipate,     Di(2-ethylhexyl)adipate,X,X,
42,     Dinoseb,     Dinoseb,     Dinoseb,X,,
43,     Diquat,     Diquat,     Diquat,X,,
44,"     1,2-Dibromo-3-chloropropane","     1,2-Dibromo-3-chloropropane","     1,2-Dibromo-3-chloropropane",X,X,
45,     Di(2-ethylhexyl)phthalate,     Di(2-ethylhexyl)phthalate,     Di(2-ethylhexyl)phthalate,X,,
46,     Endothall,     Endothall,     Endothall,X,,
47,     Endrin,     Endrin,     Endrin,X,,
48,     Ethylene Dibromide ,     Ethylene Dibromide ,     Ethylene Dibromide ,X,X,
49,     Glyphosate,     Glyphosate,     Glyphosate,,,X
50,     Heptachlor,     Heptachlor,     Heptachlor,X,,
51,     Heptachlor epoxide,     Heptachlor epoxide,     Heptachlor epoxide,X,,
52,     Hexachlorobenzene,     Hexachlorobenzene,     Hexachlorobenzene,X,,
53,     Hexachlorocyclopentadiene,     Hexachlorocyclopentadiene,     Hexachlorocyclopentadiene,X,X,
54,     Lindane,     Lindane,     Lindane,X,,
55,     Methoxychlor,     Methoxychlor,     Methoxychlor,X,,
56,     Molinate,     Molinate,     Molinate,X,,
57,     Oxamyl,     Oxamyl,     Oxamyl,X,,
58,     Picloram,     Picloram,     Picloram,X,,
59,     Pentachlorophenol,     Pentachlorophenol,     Pentachlorophenol,X,,
60,     Polychlorinated Biphenyls,     Polychlorinated Biphenyls,     Polychlorinated Biphenyls,X,,
61,     Simazine,     Simazine,     Simazine,X,,
62,     Thiobencarb,     Thiobencarb,     Thiobencarb,X,,
63,     Toxaphene,     Toxaphene,     Toxaphene,X,X,
64,"     1,2,3-Trichloropropane","     1,2,3-Trichloropropane","     1,2,3-Trichloropropane",X,,
65,"     2,3,7,8-TCDD (Dioxin)","     2,3,7,8-TCDD (Dioxin)","     2,3,7,8-TCDD (Dioxin)",X,,
66,"     2,4,5-TP (Silvex)","     2,4,5-TP (Silvex)","     2,4,5-TP (Silvex)",X,,
