,0,1
0,Synthetic organic   ,  
1,"2,4-D   "," Runoff from herbicide used on row crops, range land, lawns, and aquatic weeds   "
2,"2,4,5-TP (Silvex)   ", Residue of banned herbicide   
3,Acrylamide   , Added to water during sewage/wastewater treatment   
4,Alachlor   , Runoff from herbicide used on row crops   
5,Atrazine   , Runoff from herbicide used on row crops and along railroad and highway right-of-ways   
6,Bentazon   ," Runoff/leaching from herbicide used on beans, peppers, corn, peanuts, rice, and ornamental grasses   "
7,Benzo(a)pyrene [PAH]   , Leaching from linings of water storage tanks and distribution mains   
8,Carbofuran   ," Leaching of soil fumigant used on rice and alfalfa, and grape vineyards   "
9,Chlordane   , Residue of banned insecticide   
10,Dalapon   ," Runoff from herbicide used on right-of-ways, and crops and landscape maintenance   "
11,Dibromochloropropane (DBCP)   ," Banned nematocide that may still be present in soils due to runoff/leaching from former use on soybeans, cotton, vineyards, tomatoes, and tree fruit   "
12,Di(2-ethylhexyl) adipate   , Discharge from chemical factories   
13,Di(2-ethylhexyl) phthalate  , Discharge from rubber and chemical factories; inert ingredient in pesticides   
14,Dinoseb   ," Runoff from herbicide used on soybeans, vegetables, and fruits   "
15,"Dioxin [2,3,7,8-TCDD]", Emissions from waste incineration and other combustion; discharge from chemical factories   
16,Diquat   , Runoff from herbicide use for terrestrial and aquatic weeds   
17,Endothall   , Runoff from herbicide use for terrestrial and aquatic weeds; defoliant   
18,Endrin   , Residue of banned insecticide and rodenticide   
19,Epichlorohydrin   , Discharge from industrial chemical factories; impurity of some water treatment chemicals   
20,Ethylene dibromide (EDB) , Discharge from petroleum refineries; underground gas tank leaks; banned nematocide that may still be present in soils due to runoff and leaching from grain and fruit crops   
21,Glyphosate   , Runoff from herbicide use   
22,Heptachlor   , Residue of banned insecticide   
23,Heptachlor epoxide   , Breakdown of heptachlor   
24,Hexachlorobenzene   , Discharge from metal refineries and agricultural chemical factories; byproduct of chlorination reactions in wastewater   
25,Hexachlorocyclopentadiene , Discharge from chemical factories   
26,Lindane   ," Runoff/leaching from insecticide used on cattle, lumber, and gardens   "
27,Methoxychlor   ," Runoff/leaching from insecticide used on fruits, vegetables, alfalfa, and livestock   "
28,Molinate [Ordram]   , Runoff/leaching from herbicide used on rice   
29,Oxamyl [Vydate]   ," Runoff/leaching from insecticide used on field crops, fruits and ornamentals, especially apples, potatoes, and tomatoes   "
30,Pentachlorophenol   ," Discharge from wood preserving factories, cotton and other insecticidal/herbicidal uses   "
31,Picloram   , Herbicide runoff   
32,Polychlorinated biphenyls [PCBs] , Runoff from landfills; discharge of waste chemicals   
33,Simazine   , Herbicide runoff   
34,Thiobencarb   , Runoff/leaching from herbicide used on rice   
35,Toxaphene   , Runoff/leaching from insecticide used on cotton and cattle   
36,"1,2,3-Trichloropropane"," Discharge from industrial and agricultural chemical factories; leaching from hazardous waste sites; used as cleaning and maintenance solvent, paint and varnish remover, and cleaning and degreasing agent; byproduct during the production of other compounds and pesticides."
