,0,1,2
0,"Table 64570-A
Materials Standards for Water Mains","Table 64570-A
Materials Standards for Water Mains","Table 64570-A
Materials Standards for Water Mains"
1,,,
2,Type of Material,Diameter of Main,Applicable Standard
3,PVC,4 in. through 12 in.,C900-97
4,PVC,14 in. through 48 in.,C905-97
5,Polyethylene (HDPE),4 in. through 63 in.,C906-99
6,Fiberglass,All sizes,C950-01
7,Ductile Iron,All sizes,C150/A21.50-02
8,"Ductile Iron, Centrifugally cast",All sizes,C151/A21.51-02
9,Steel,6 inches and larger,C200-97
10,Copper,All sizes,C800-05
11,Concrete,,
12,Reinforced steel-cylinder,All sizes,C300-04
13,Prestressed steel-cylinder,All sizes,"C301-99, C304-99"
14,Reinforced noncylinder,All sizes,C302-04
15,Bar wrapped/steel cylinder,All sizes,C303-02
16,"PVC, Molecularly oriented polyvinyl chloride",All sizes,C909-02
