"System No.","System Name","Priority"
"1510003","California Water Service Company - Bakersfield","154"
"5610040","California American Water Company -  Village District","155"
"3310005","Desert Water Agency","156"
"0110003","California Water Service Company - Livermore","157"
"3010046","Tustin, City of","158"
"4310001","California Water Service Company - Los Altos 
Suburban","159"
"4110007","California Water Service Company - San Carlos","160"
"1910070","Los Angeles, County Water Works District 4&34- 
Lancaster","161"
"1510031","Bakersfield, City of","162"
"4110009","California Water Service Company - South San 
Francisco","163"
"3010053","Huntington Beach, City of","164"
"4110006","California Water Service Company - Bear Gulch","165"
"1910034","Downey, City of","166"
"4110022","Redwood City","167"
