"1,1-Dichloroethane","Extraction and degreasing solvent; used in 
manufacture of pharmaceuticals, stone, clay and 
glass products; fumigant"
"1,2-Dichloroethane","Discharge from industrial chemical factories"
"1,1-Dichloroethylene","Discharge from industrial chemical factories"
"cis-1,2-Dichloroethylen","Discharge from industrial chemical factories; major 
biodegradation byproduct of TCE and PCE 
groundwater contamination"
"trans-1,2-
Dichloroethylene","Discharge from industrial chemical factories; minor 
biodegradation byproduct of TCE and PCE 
groundwater contamination"
"Dichloromethane","Discharge from pharmaceutical and chemical 
factories; insecticide"
"1,2-Dichloropropane","Discharge from industrial chemical factories; 
primary component of some fumigants"
"1,3-Dichloropropene","Runoff/leaching from nematocide used on 
croplands"
"Ethylbenzene","Discharge from petroleum refineries; industrial 
chemical factories"
"Methyl-tert-butyl ether 
(MTBE)","Leaking underground storage tanks; discharge from 
petroleum and chemical factories"
"Monochlorobenzene","Discharge from industrial and agricultural chemical 
factories and drycleaning facilities"
"Styrene","Discharge from rubber and plastic factories; 
leaching from landfills"
"1,1,2,2-
Tetrachloroethane","Discharge from industrial and agricultural chemical 
factories; solvent used in production of TCE, 
pesticides, varnish and lacquers"
"Tetrachloroethylene 
(PCE)","Discharge from factories, dry cleaners, and auto 
shops (metal degreaser)"
"1,2,4-Trichlorobenzene","Discharge from textile-finishing factories"
"1,1,1-Trichloroethan","Discharge from metal degreasing sites and other 
factories; manufacture of food wrappings"
"1,1,2-Trichloroethan","Discharge from industrial chemical factories"
"Trichloroethylene (TCE)","Discharge from metal degreasing sites and other 
factories"
"Toluene","Discharge from petroleum and chemical factories; 
underground gas tank leaks"
"Trichlorofluoromethane","Discharge from industrial factories; degreasing 
solvent; propellant and refrigerant"
"1,1,2-Trichloro-1,2,2- 
Trifluoroethane","Discharge from metal degreasing sites and other 
factories; drycleaning solvent; refrigerant"
